时间,博文id,用户,用户id,评论,转发,点赞,博文,情感分数
2020年01月21日 12:30,4463148754618349,秦天论道,1619938897,9,0,31,"
                    【秦天杂谈】（1265）  粗菜淡饭☀过年了，吃得简单一点，清淡一点。一豆桨，一肉包两菜包，早中餐都解决了。所费9元。☀病从口入。许多毛病是吃出来的。武汉的新冠病毒也是吃出来的。☀老同志还算健康，与一辈子粗茶淡饭，与常吃素，有关。从不稀奇山珍海味。另外一个可能也重要，就是别有事没事找气生。☀又一医生被砍，这医生还很优秀。新冠初冒，武汉压着不报。这都是令人生气的事。一凡夫，生气有用吗？该生气的是能解决问题的领导。☀武汉有疫情，中国女足还在那集训。奥选赛也原定在武汉进行。微信了足协相关人员，希望及时反应。一凡夫，能做的，也就这样了。 收起全文d
                ",6.0
2020年01月21日 12:18,4463145743905519,瞬摄美街拍,6391077297,0,19,58,"
                    新冠病毒，人心惶惶，但愿人们安好🙏🙏91124-41+43 2吴川市 ​                ",-1
2020年01月21日 12:04,4463142052083884,丫雅雅丫98,7366996689,4,0,2,"
                    厦门旅游 准备2月中旬去厦门玩，可是新冠病毒弄的有些怕怕😱！在座各位有准备2月份去厦门的么？你们怎么看 ​                ",0.5
2020年01月21日 12:01,4463141486415803,房小旗,5378851242,0,1,5,"
                    【NIH专家：已获新冠病毒序列 重点关注病毒是否“持续”传染】美国国家卫生研究所（NIH）专家称已获得来自中国的病毒序列，但疫苗研制需数月甚至数年，将须依赖传统的公共卫生措施防治。下一步重点关注病毒传染是否是“持续的”，即是否有二代、三代传播。 NIH下属的过敏及传染性疾病研究所所长、免疫控制实验室主任弗契表示，武汉新型冠状病毒肺炎与SARS、中东呼吸综合征（MERS）一样，都是源自从动物污染源到人类的跨物种传播，都是冠状病毒。 收起全文d
                ",7
2020年01月21日 15:39,4463196125495865,咸鱼翻身指南,5614475163,0,0,3,"
                    这段时间发生新冠肺炎，正好在看小说小蘑菇和电视剧切尔诺贝利，面对各种灾难和疾病传染，人类真的太渺小了。可是就像流浪地球里所表达的，希望是最珍贵的东西，只要永存希望，人类就有未来。 ​                ",4.0
2020年01月21日 15:22,4463191843009488,湖州市疾控中心,5190210310,3,1,5,"
                    发布了头条文章：《关于“新冠”病毒感染肺炎，你需要知道这几件事》  O关于“新冠”病毒感染肺炎，你需要知道这几件事 ​                ",4
2020年01月21日 17:47,4463228341528704,蓝鲸财经记者工作平台,1885454921,113,41,655,"
                    #武汉市长接受央视专访#【鲸视频：#武汉新冠肺炎死亡病例增至6例#】武汉市市长周先旺在接受总台央视记者专访时表示，截至2020年1月20日24时，武汉市累计报告新型冠状病毒感染的肺炎病例258例，已治愈出院25例，死亡6例。目前仍在院治疗227例，其中重症51例、危重症12例，均在武汉市定点医疗机构接受隔离治疗。（央视记者）L央视新闻的微博视频 收起全文d
                ",3
2020年01月21日 21:53,4463290341921479,每座城市都应举办马拉松,7330618623,0,0,3,"
                    距离国内春季第一波重要马拉松赛事举办：重庆马拉松，无锡马拉松，徐州马拉松，清远马拉松，成都双遗马拉松，还有两个月时间。按照当下的形势分析，除非发生重大利好，新冠肺炎在两个月内被彻底扑灭。上述马拉松赛事基本面临取消的命运。这已经是当下所有赛会组织者能够想到的情况了。后续八成会取消赛事，退钱或保留名额到2021年。已经预定车酒的退款。如果国际传播形势不妙的话，有可能对东京，波士顿，伦敦，三站大满贯马拉松造成重大的影响。如果持续时间继续拉长，东京奥运会甚至有延期或取消的风险。说一千道一万，作为运动行业从业者，都希望疫情早日解除。愿每个人都健康。 收起全文d
                ",7
2020年01月21日 21:50,4463289499426952,健康中国,2834480301,651,1706,3135,"
                    #健康科普汇#【喝板蓝根和熏醋可以预防新冠肺炎？辟谣：不可以！】#板蓝根和醋不能预防新冠肺炎# 新冠肺炎发生以来，囤板蓝根、熏醋的声音越来越多，甚至一度渲染成为预防的“黄金组合”，	em class=""s-color-red"">新冠肺炎吗？和平里医院呼吸科主任医师张骅称：板蓝根适用于治疗风热感冒、病毒性感冒等热性疾病的治疗，有一定的抗病毒效果，但是对冠状病毒是不可能有效的。熏醋，所含醋酸本身浓度就很低，根本达不到消毒的效果。不信谣不传谣！@科学辟谣 收起全文d
                ",10.0
2020年01月21日 21:12,4463279969347283,非想飞翔119,1152236957,0,0,0,"
                    #涉及武汉航班机票可免费办理退票#是不是不免费退票的航线不用担心新冠肺炎，可以放心大胆乘坐。 ​                ",0
2020年01月21日 21:11,4463279906236840,吴姗姗rabbit,2805101414,0,0,0,"
                    2003年的SARS仿佛也没多远，2020的开年我们又迎来了新冠性病毒肺炎，为什么都是在冬天。。。。。大家又被永远冲在第一线的医务人员感动了，仿佛医患关系紧张不曾存在过。 ​                ",4
2020年01月21日 21:08,4463279143534865,粤港澳-大湾区,3140752367,1,6,8,"
                    国家卫健委高级别专家组成员：武汉新冠病毒肺炎“超级传染者”已经出现，一个病患感染14个医务人员！ ​                ",0
2020年01月21日 21:01,4463277167668859,向日葵小班班长sunflowers,6013541674,0,0,1,"
                    啊啊啊啊啊啊啊钟南山院士好帅03年非典一直坚持在第一战线20年新冠病毒肺炎也不例外03到20，时间过得真快祝平安医学界的大boss 致敬！#84岁钟南山再战防疫最前线# ​                ",4
2020年01月21日 20:02,4463262336410290,周口同城会,1964054151,13,7,23,"
                    #周口爆料# 【#河南确诊首例新型冠状病毒肺炎#】21日，国家卫生健康委确认河南省郑州市首例输入性新型冠状病毒感染的肺炎确诊病例。患者为男性，66岁，周口太康人，在武汉市工作，2019年12月29日出现发热、胸闷气短等症状，2020年1月7日返回周口市就诊。1月10日转诊至郑州，1月20日患者转运至定点医院隔离治疗。目前患者正在隔离治疗，病情稳定。（人民日报） #关注周口新冠肺炎疫情# 收起全文d
                ",-2
2020年01月21日 22:56,4463306280783750,南部公安,5103370314,0,0,3,"
                    🙏【#武汉新冠肺炎死亡增至6例#】湖北省武汉市市长周先旺表示，截至2020年1月20日24时，武汉市累计报告新型冠状病毒感染的肺炎病例258例，已治愈出院25例，死亡6例。目前仍在院治疗227例，其中重症51例、危重症12例，均在武汉市定点医疗机构接受隔离治疗。愿平安！#武汉制定诊疗方案#L央视新闻的微博视频 收起全文d
                ",2
2020年01月21日 22:53,4463305483945469,南部公安,5103370314,0,0,1,"
                    中原说事【武汉#首例重症新冠肺炎出院患者#：护士姐姐特别好，总给我加油】武汉首例重症新冠肺炎出院患者李先生向梨视频详细讲述了被隔离治疗的经过。他说，姐姐冲进隔离室照顾他直到痊愈，“护士姐姐们特别好，总是给我加油打气。”其间，朋友和邻居都来看他。23岁的他，终于治愈出院。via一手video L一手video的秒拍视频 收起全文d
                ",4
2020年01月21日 22:48,4463304175366912,YBFQXX521,5688550287,0,0,1,"
                    妈妈刚刚看到新冠性病毒肺炎已经增加到309人死亡6人，唾液可以传染，少去人多的地方，不吃野味，勤洗手不亲小宝宝，现在大连也发现了一例，跟2002年的非典疫情差不多只是这个的治愈比非典病毒弱一些，但是妈妈还是很担心你，你爸跟吴静总出去喝酒接触人多，妈妈怕把病毒携带回去，怎么办呀！要不明天妈妈在给你爸发信息，送指定现在不能把你送回来，但是不能让你有危险当中！只能给你爸发一下这次病毒的传播方式注意事项，他就是不回信息也能看到！ 收起全文d
                ",-5.5
2020年01月21日 22:44,4463303243902795,此乃张伟,6352518628,0,0,2,"
                    严厉打击野生动物野味市场！！！2003年的非典和今年武汉新冠病毒肺炎，都是出现在野味市场。 2武汉 ​                ",2
2020年01月21日 22:37,4463301536669766,v1016v,1789413893,1,0,0,"
                    #河南确诊首例新型肺炎# 人呢，就是记吃不记打！“非典”是，“新冠型肺炎”也是。为毛就非得吃野味，咋滴啦，太有钱还是命太长。 ​                ",1
2020年01月21日 22:22,4463297644027244,南通那点事儿,2800764994,416,37,1167,"
                    #快讯# 【#南通确诊1例新冠肺炎病例#！已落实各项应急措施全力做好预防控制工作】近期，湖北武汉市等地陆续发生新型冠状病毒感染的肺炎病例，广大市民十分关注。武汉发现新型冠状病毒感染的肺炎疫情后，南通市委、市政府以人民健康为中心，高度重视新型冠状病毒感染的肺炎防控工作，迅速成立了疫情防控工作领导小组，启动了疫情联防联控应急机制，动员各成员单位按照各自职责，落实各项应急措施，全力做好预防控制工作。   全市二级以上医疗机构已加强发热门诊管理，强化预检分诊，加强应急值守，做好医疗救治准备。同时，市卫健委希望广大市民朋友积极支持、配合卫生健康及有关部门做好健康教育、爱国卫生等知识的宣传，强化个人健康防护，不信谣、不传谣，过一个安乐、祥和、健康的春节！ 收起全文d
                ",15.0
2020年01月21日 22:19,4463296868406032,-扶霜酱-,2131146537,0,0,0,"
                    #新冠肺炎日记# 2019我学会的新词，vice➡️邪恶的。2020我学会的新词，novel➡️异常的。所以武汉的那个病叫nCoV➡️novel Coronavirus.（急需人帮我解释什么是genome tree和evolutionary rate）（自己读文献了解情况遇到了阻碍，难顶） ​                ",2
2020年01月22日 01:58,4463352011062569,阿姬--AJ,2770299527,1,0,3,"
                    20191212 武汉肺炎发现事件。        1230武汉不明原因肺炎事件引发关注。20200109初步判定为‘’新型冠状病毒‘’。简称新冠毒～还在进一步研究判定中……2019-2003=16 ​                ",4.0
2020年01月22日 01:29,4463344809291278,大牛老张,1430799062,0,0,0,"
                    初一快到了，看到电影宣传攻势还很猛。但是，目前来看新冠肺炎短时期对旅游、电影等影响是确定性的了，国家层面开始提倡少到人聚集的地方，今年大年初一的几大电影估计票房要扑街了。有时候，事情就是这样，你付出了很多的努力，但是环境改变了，这个努力就可能白费了。所以时运很重要。当然，最好的做法是用长期的坚持对抗短期的波动，这才是最后制胜之道，也是对耐心最大的报偿。 收起全文d
                ",23.0
2020年01月22日 00:04,4463323267033316,卡尔赫林,1256976585,9,0,12,"
                    #春节档电影进入版权保护预警名单#春节档电影，遭遇“新冠肺炎”，票房肯定会受影响。如果为了防控肺炎着想，不建议去人群密集的地方，那么影院是否会考虑退票呢？现在，网购电影票只能改签，不能退票。如果不想退票，各院线影院，应该尽快加强环境卫生消毒，加强对3D眼镜的消毒，加强对电影观众的体温检测，才能有效的防止传染病的传播和扩散。记得非典时期，电影院就关闭了。等非典过去之后，第一批进影院看电影的人，还要通过工作人员手持体温仪检测，才能进入影院收起全文d
                ",7.0
2020年01月22日 02:55,4463366405893014,_叶子橙,2351099624,1,0,1,"
                    #全国已确诊新型肺炎病例319例# 朋友圈看到的，新冠肺炎已经到了美国了？？？ ​                ",1
2020年01月22日 07:57,4463442394449723,重见渔伙,7291004053,0,0,16,"
                    武汉新冠病毒肺炎疫情爬坡状发展，病例不断增加，大家注意防犯，但也不宜过度紧张。向一线医护人员致敬。 2湛江 ​                ",1
2020年01月22日 07:37,4463437264267577,遇见更好的你2018,6437945401,1,0,3,"
                    不管大武汉现正在经历什么，依然挡不住我回家陪家人过年的脚步……武汉人民一定要挺住呀，2003年的非典没能带走我们，相信今天的新冠型病毒肺炎也照样击垮不了我们在此 非常感谢钟南山及一线的护士与医生，是你们无私奉献挽救了不少生命。愿全国人民都做好防护措施，出门戴好口罩  勤洗手🙏🙏🙏🙏 2天津·天津西站 收起全文d
                ",7.0
2020年01月22日 06:52,4463426120576003,非想飞翔119,1152236957,0,0,47,"
                    #全国已确诊新型肺炎病例319例#不要说这个新冠比SARS弱，当年SARS可怕也是认识不足造成的，找到合适的治疗方法后SARS后期病死率并不高，现在各地正在为前期失控的武汉买单。采取措施很难吗？还是通过春运让大家升级免疫系统？ ​                ",-3
2020年01月22日 09:23,4463464099728087,厦禾路女侠,5997307695,1,0,21,"
                    新冠肺炎确诊人数还在增加，出现病例的省份数量也在增多，美国也出现了确诊病例，疫情有进一步扩散趋势。此时仍然是疫情发生初期，此时非常关键，越早采取足够的措施越主动，各地应该高度重视，采用非常手段来应对疫情，比如发动大众，对于凡是自上个月到现在去过武汉的，应该立即上报，并且采取隔离措施，有工作的应该准许其休假以便完成隔离观察，解除隔离后方可回到工作岗位，上学人员类似处理等等，基层医疗人员据此要跟踪和监控是否有发病症状等。要知道此次肺炎疫情发生的社会现状与非典时的现状有比较大的不同了，现在高铁网络四通八达，这增加了病毒传播的速度和范围，这也是为什么短短几天多个省份都出现了病例。当然之前航空网络也比较广泛，但现在在此基础上又增加了高铁网络，而且乘坐飞机的主要是商务人士，现在乘坐高铁的则更加广泛，包括老人小孩和农民工，所收起全文d
                ",25.0
2020年01月22日 09:22,4463463856686361,李李的放大镜,2167644005,0,0,2,"
                    #股市##期货# 受新冠病毒肺炎影响，期货市场延续大幅震荡，震荡后，部分品种将迎来好的机会。股票市场里，股王#中国平安# 2019四季度被基金减持，不过，即便是减持了价格还是在80到90区间震荡，预期业绩增速放缓但仍将维持到15%，逢跌买入长线持有是好的主意。今天市场中，我们应该能看到中国平安 sh601318对大盘起到稳定作用。 收起全文d
                ",15.0
2020年01月22日 09:22,4463463642056686,红豆QQ奶茶三分糖加奶霜,5610372979,2,0,0,"
                    长辈真的不关心新冠病毒肺炎我跟我妈说要少吃野味我妈：我们家吃得起吗 ​                ",-1
2020年01月22日 09:07,4463460006015193,有故事的妖姬,6260718187,7,0,18,"
                    ☀️        03年滥捕杀果子狸导致非典疾病、死了不少人。时隔这么多年不吸取教训、仍然滥捕杀野生动物又导致新冠肺炎、人祸天灾？ #美国确诊首例新型肺炎病例# ​                ",-6.0
2020年01月22日 11:57,4463502707881886,晶报,1677991972,0,0,2,"
                    #健康科普汇#【喝板蓝根和熏醋可以预防新冠肺炎？辟谣：不可以！】#板蓝根和醋不能预防新冠肺炎# 新型肺炎发生以来，囤板蓝根、熏醋的声音越来越多，甚至一度渲染成为预防的“黄金组合”，那么它们真能预防新冠肺炎吗？和平里医院呼吸科主任医师张骅称：板蓝根适用于治疗风热感冒、病毒性感冒等热性疾病的治疗，有一定的抗病毒效果，但是对冠状病毒是不可能有效的。熏醋，所含醋酸本身浓度就很低，根本达不到消毒的效果。不信谣不传谣！@健康中国 收起全文d
                ",11.0
2020年01月22日 11:54,4463502012386292,长春工程学院,5277884750,11,1,20,"
                    #长工程小茶馆# 预防新冠肺炎 带什么口罩才有用？？午安 记得通风消毒哦 ​                ",3
2020年01月22日 11:51,4463501281904036,周口同城会,1964054151,15,2,71,"
                    #关注周口新冠肺炎疫情# 【#河南确诊1例新型肺炎病例# 患者在武汉患病回周口治疗】1月21日，河南省卫健委通报首例新型冠状病毒肺炎病例。通报称，患者为66岁的男性，曾在武汉市工作。其于2019年12月29日出现发热、胸闷等症状，2020年1月7日返回河南周口就诊，1月10日转诊郑州后被隔离a href=""http://t.cn/A6vdrfMQ"" target=""_blank"">L新京报我们视频的秒拍视频 2周口 2周口 2周口 2周口 收起全文d
                ",-1
2020年01月22日 11:47,4463500157899560,山西都市110,1419645071,0,0,0,"
                    【健康幸福过大年】关于新冠肺炎，想知道的看过来（三）O【健康幸福过大年】关于新型冠状病毒感染的肺炎，想知道的看过来（三） ​                ",7
2020年01月22日 11:45,4463499805502006,山西都市110,1419645071,0,0,0,"
                    【健康幸福过大年】关于新冠肺炎，想知道的看过来（二）O【健康幸福过大年】关于新型冠状病毒感染的肺炎，想知道的看过来（二） ​                ",7
2020年01月22日 11:28,4463495485628401,网易健康,5341241739,0,3,17,"
                    【一图读懂：新型冠状病毒肺炎牵动人心，春运期间如何防护？】随着春节来临，疫情的发展给很多人的出行带来了疑惑和焦虑：此次新冠肺炎疫情到底有多严重？春节该如何安全回家？如何在春节期间保护好自己？戳下图，带您了解关于新冠肺炎的一系列问题↓↓↓  #健康中国2030##春节健康攻略##新型肺炎确诊440例死亡9例# 收起全文d
                ",2.0
2020年01月22日 11:14,4463491966993807,-扶霜酱-,2131146537,0,0,0,"
                    #新冠肺炎日记# 一个update。右图是昨天的。 ​                ",1
2020年01月22日 11:11,4463491190749961,骑上扫帚去飞翔,5246138286,3,0,16,"
                    澳洲山火、非洲蝗灾、新冠肺炎、美伊冲突……世界末日来了吗？ ​                ",-2
2020年01月22日 10:54,4463487021162952,一树蔷薇sun,5365022704,0,0,1,"
                    #SARS消失主要是气温因素#看到好多人在互相指责，真是让人感慨。什么时候我们才能开始真正的学会自我反省！17年前的SARS，今年的新冠型病毒肺炎，还不能引起我们对大自然的敬畏之心吗？还不能认识到人类不是无所不能，认识到生命的脆弱吗？ ​                ",0.0
2020年01月22日 10:35,4463482202632643,爱上叉烧包的猫_kyx,6043512669,0,0,6,"
                    #武汉给市民朋友的一封信#那年的我，还是个小宝宝，对世界懵懵懂懂。      在这场新冠型肺炎爆发前，我一直认为“战斗”、“斗争”这样的字眼更多的事用在我们可爱的军人们的身上。但是，这是#新型冠状病毒# 让我深刻体会到，原来，医护人员的付出不比军人们少，他们同样在战斗，在生死一线间与病魔斗争着。       每个医护人员都是可爱可敬的！身为中国人，为你们骄傲，像你们致 收起全文d
                ",15.0
2020年01月22日 15:32,4463556877809090,武汉身边事,2049368710,0,4,5,"
                    #武汉肺炎疫情防控#【同济医生感染新冠肺炎去世系谣言  #武汉医护人员感染料已超15人#】此前网络传言称，武汉市同济医院急诊科陆俊医生因感染新型冠状病毒肺炎去世。财新记者获悉，该名急诊科医生在接诊时感染新型冠状病毒肺炎，目前恢复良好，很快能够出院。根据财新记者的调查了解，武汉已知被感染的医护人员数量，应该已经超过官方21日公布的15人。除了陆俊医生是武汉同济医院首名被感染的医生，该院还有感染科主任医师黄元成教授被感染，此外也有护士被感染。 O独家|同济医生感染新冠肺炎去世系谣言 武汉医护人员感染数料已超15人 收起全文d
                ",-14
2020年01月22日 15:32,4463556827110883,武汉同城,6072764820,0,3,4,"
                    #武汉肺炎疫情防控#【同济医生感染新冠肺炎去世系谣言  #武汉医护人员感染料已超15人#】此前网络传言称，武汉市同济医院急诊科陆俊医生因感染新型冠状病毒肺炎去世。财新记者获悉，该名急诊科医生在接诊时感染新型冠状病毒肺炎，目前恢复良好，很快能够出院。根据财新记者的调查了解，武汉已知被感染的医护人员数量，应该已经超过官方21日公布的15人。除了陆俊医生是武汉同济医院首名被感染的医生，该院还有感染科主任医师黄元成教授被感染，此外也有护士被感染。 O独家|同济医生感染新冠肺炎去世系谣言 武汉医护人员感染数料已超15人 收起全文d
                ",-14
2020年01月22日 14:46,4463545209138352,新浪云南,2600864183,6,2,9,"
                    #百城行动战疫情# #抗击新冠肺炎云南在行动#【新型冠状病毒感染肺炎最新疫情】聚合新浪云南疫情日报，以及政府、新闻媒体权威发布的最新疫情通报、出院信息、交通举措等你最关注的疫情相关信息。每日更新！ 新型冠状病毒感染肺炎最新疫情 ​                ",5.0
2020年01月22日 14:25,4463539970185617,舍予小V,1655836235,3,2,15,"
                    #武汉加油##新型冠状病毒肺炎纳入法定传染病#  日前，我于途牛上预订了春节期间的珠海长隆企鹅酒店，因近期新冠肺炎，准备响应号召取消行程留守武汉，保护自己也不给别人添堵。理解近期事态严重，回复处理进度慢，但希望途牛旅行@途牛旅游网 尽快予以处理及明确回复。@珠海长隆企鹅酒店 @珠海横琴长隆海洋王国 酒店官方电话昨天和今天无数次拨打，均无法接通。作为酒店窗口，请问保持通话畅通是不是基本要求，希望长隆尽快回复像我一样武汉出行的游客，拿出解决问题的方法和措施，而不是连电话都无法接通？？！！！ 2武汉 收起全文d
                ",4
2020年01月22日 14:21,4463538909656935,返朴,7006367380,278,4312,4179,"
                    #返朴解惑新型肺炎# 新型冠状病毒爆发之际，口罩又一次脱销了。朋友圈里甚至出现了新型代购：口罩代购。小小的口罩，你真的了解么？有哪些口罩种类？它们的区别在哪？哪种口罩阻挡病毒传播的效果最好？我们一定要购买 #N95口罩# 么？N95的呼气阀会减少保护作用么？这篇文章总结了关于口罩的十一个问答，希望可以在这个病毒肆虐的季节，为大家一扫关于口罩的疑惑。  #万众一心抗击新冠肺炎#O病毒来袭，科学家告诉你这样选口罩 | 117三人行 收起全文d
                ",3
2020年01月22日 14:20,4463538640433211,新浪视频,1640601392,43,48,361,"
                    【#首例重症新型肺炎出院者发声#：我还年轻，器官都在帮我】截至22日7时，我国共确诊324例新型冠状病毒感染的肺炎病例，14省市出现确诊病例，死亡6例。北京青年报记者深度对话新冠病毒感染的肺炎康复患者王康（化名），讲述与新型冠状病毒搏斗的22天。#新型肺炎确诊440例死亡9例##新型冠状病毒来源是野生动物# L青流视频的秒拍视频 收起全文d
                ",-5.0
2020年01月22日 14:12,4463536690792192,财新吴鹏,5235010687,0,0,0,"
                    目前当地多个集中收治医院压力较大，最早的定点医院金银潭医院满负荷；后备医院武汉肺病医院和汉口医院均已开始收治转诊的新冠肺炎患者；有的医护人员已10天没有回家——【独家|同济医生感染新冠肺炎去世系谣言 武汉医护人员感染料已超15人】此前网络传言称，武汉市同济医院急诊科一名医生因感染新型冠状病毒肺炎去O独家|同济医生感染新冠肺炎去世系谣言 武汉医护人员感染数料已超15人（来自财新客户端） 收起全文d
                ",-10
2020年01月22日 17:57,4463593275600319,D调di哲学,1741803504,0,0,0,"
                    新年穿新衣、拥有冬装小翘臀的朱可爱✌️新春将至，“新冠”可防可控，提醒大家出门一定戴好口罩😷 ​                ",4
