score,text
-1,"武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 武汉 不明 原因 肺炎 病原体 系为 新型 冠状病毒 新型 病毒 一个 过程 危害性 大不大 科学家 研究 做出 判断 好消息 全球 相关 领域 科学家 和世卫 组织 关注 此事 我国 这方面 权威专家 联手 调查 正确 措施 预防 口罩 医院 医生 口罩 勤洗手 老用 肥皂 使手 难受 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 病毒 危害 民众 收起 全文 
"
-1,"最新进展 武汉 不明 原因 病毒性 肺炎 出院 死亡 最全 官方 解读 最新进展 武汉 不明 原因 病毒性 肺炎 出院 死亡 最全 官方 解读 
"
-1,"武汉 不明 原因 肺炎 原因 查明 武汉 不明 原因 肺炎 原因 查明 
"
-1,"新华社 武汉 不明 原因 肺炎 病原体 确认 新华社 武汉 不明 原因 肺炎 病原体 确认 
"
-1,"何伟唱 张云雷 好多 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 鹿晗 吃火锅 葡萄 ## 娄艺潇 试镜 胡一菲 画面 ## 岳云鹏 ## 不行 ## 张鹤伦 太极 天使 微博 视频 
"
1,"时事 热点 被誉为 中国 天眼 口径 球面 射电 望远镜 FAST 顺利 国家验收 投入 正式 运行 西藏自治区 第十一届 人大 西藏自治区 民族团结 模范 创建 条例 中国 世界卫生组织 分享 武汉 不明 原因 病毒性 肺炎 病例 检测 新型 冠状病毒 基因 序列 信息 交通运输 持续 跟踪 高速公路 货车 费率 调整 组织 主动 公开 收费 标准 江苏 首场 学业 水平 合格 考试 昨开考 四门 科目 不难 南京 立法 计划 出炉 制定 生活 垃圾 管理条例 收起 全文 
"
1,"维护 全球 卫生 中国 世界卫生组织 分享 武汉 不明 原因 病毒性 肺炎 病例 检测 新型 冠状病毒 基因 序列 信息 中国 世界卫生组织 分享 新型 冠状病毒 基因 序列 信息 
"
0,"几天 武汉 不明 原因 肺炎 人心惶惶 专家 这场 肺炎 罪魁祸首 初步 判定 新型 冠状病毒 简单 科普 冠状病毒 网页 链接 
"
-1,"武汉 卫健委 通报 不明 原因 肺炎 情况 武汉 不明 肺炎 已检 病例 死亡 武汉 确诊 感染 新型 冠状病毒 肺炎 患者 死亡 专家 解读 武汉 确诊 感染 新型 冠状病毒 肺炎 患者 死亡 专家 解读 武汉 确诊 感染 新型 冠状病毒 肺炎 患者 死亡 武汉市 卫生 健康 委日晨 发布 通报 不明 原因 病毒性 肺炎 病原体 初步 判定 新型 冠状病毒 武汉 卫健委 组织 现有 患者 标本 检测 日时 初步 诊断 新型 冠状病毒 感染 肺炎 病例 重症 死亡 患者 病情 稳定 收起 全文 
"
1,"央视 新闻 武汉 不明 原因 病毒性 肺炎 疫情 各界 关注 维护 全球 卫生 中国 世界卫生组织 分享 武汉 不明 原因 病毒性 肺炎 病例 检测 新型 冠状病毒 基因 序列 信息 
"
-1,"正抱 侯爷 大腿 侯爷 没用 奴婢 淡然处之 不明 原因 肺炎 患者 转入 传染病 医院 ## 误吞 AirPod 医生 建议 自行 排出 ## 腊八 
"
-1,"算是 一个 VLONE CLOT 中国 长袖 宗师 联合会 聚集 诸多 来自 各方 势力 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 徐坤教 Lisa 捣蒜 ## 北京西站 铁路 地铁 安检 互认 
"
-1,"使馆 消息 泰国 入境 检疫 提醒 近期 泰国 卫生部 疾病 控制 局在素 那普 廊曼 清迈 普吉 机场 加装 红外线 体温 检测仪 来自 中国 旅客 特别 是从 武汉 直飞 泰国 旅客 检疫 力度 发热 疑似 不明 原因 病毒性 肺炎 症状 旅客 隔离 治疗 中国 泰国 大使馆 提醒 来泰 同胞 泰方 措施 健康状况 合理安排 出行 影响 行程 来源 中国 驻泰 大使馆 网页 链接 收起 全文 
"
-1,"几天 武汉 不明 原因 肺炎 人心惶惶 专家 Stone 百科 不明 原因 肺炎 初步 判定 罪魁祸首 网页 链接 
"
1,"中国 世界卫生组织 分享 新型 冠状病毒 基因 序列 信息 记者 国家 卫生 健康 委员会 武汉 不明 原因 病毒性 肺炎 疫情 各界 关注 维护 全球 卫生 中国 世界卫生组织 分享 武汉 不明 原因 病毒性 肺炎 病例 检测 新型 冠状病毒 基因 序列 信息 新华网 详情 中国 世界卫生组织 分享 新型 冠状病毒 基因 序列 信息 收起 全文 
"
0,"专家 称系 新型 冠状病毒 武汉 不明 原因 病毒性 肺炎 疫情 病原学 鉴定 初步 进展 网页 链接 
"
1,"中国 世界卫生组织 分享 新型 冠状病毒 基因 序列 信息 武汉 不明 原因 病毒性 肺炎 疫情 各界 关注 维护 全球 卫生 中国 世界卫生组织 分享 武汉 不明 原因 病毒性 肺炎 病例 检测 新型 冠状病毒 基因 序列 信息 央视 新闻 
"
0,"武汉 不明 原因 肺炎 病原体 新型 冠状病毒 中国 世界卫生组织 分享 新型 冠状病毒 基因 序列 信息 武汉 不明 原因 病毒性 肺炎 疫情 各界 关注 维护 全球 卫生 中国 世界卫生组织 分享 武汉 不明 原因 病毒性 肺炎 病例 检测 新型 冠状病毒 基因 序列 信息 
"
-1,"鼠年 老鼠 一点 面子 南京 香港 ## 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 鹿晗 吃火锅 葡萄 ## 娄艺潇 试镜 胡一菲 画面 ## 岳云鹏 ## 不行 ## 张鹤伦 太极 天使 微博 视频 
"
-1,"武汉 不明 原因 肺炎 导致 死亡 武汉 通报 不明 原因 肺炎 情况 初步 诊断 新型 冠状病毒 感染 肺炎 病例 出院 重症 死亡 患者 病情 稳定 专家 解读 武汉 不明 原因 肺炎 初步 判定 一种 新型 冠状病毒 病毒 致病性 较弱 病患 病情 整体 疫情 处于 可控 状态 安哥 医疗 专家组 传谣 不信谣 京报 新闻 视频 收起 全文 
"
1,"邀请 武汉市 卫生 健康 委日晨 发布 通报 不明 原因 病毒性 肺炎 宝官 
"
-1,"完整版 大伊布 伊布拉 莫维奇 回到 AC 米兰 南京 香港 ## 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 鹿晗 吃火锅 葡萄 ## 娄艺潇 试镜 胡一菲 画面 ## 岳云鹏 ## 不行 ## 张鹤伦 太极 天使 微博 视频 
"
-1,"景象 截然不同 叶寒 givenchy 纪梵 希康丽 印花 卫衣 口中 发出 一声 冷喝 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 青春 发布会 ## 单方面 退出 伊核 协议 无视 国际法 
"
-1,"育儿 专家 ## 新手 爸妈 通关 指南 终于 确认 武汉 不明 原因 肺炎 家长 终于 确认 武汉 不明 原因 肺炎 家长 
"
1,"枯瘦 balenciaga 巴黎 世家 锁扣 高领 长袖 打底 脸色 脸上 仿佛 瞬间 作业 太大 老师 批注 恶心 ## 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 张若昀 眼镜 
"
-1,"鹿晗 吃火锅 葡萄 ## 娄艺潇 试镜 胡一菲 画面 ## 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 不行 太极 天使 微博 视频 
"
-1,"武汉 不明 原因 病毒性 肺炎 公布 确诊 病例 专家 不明 原因 肺炎 总体 可控 武汉 卫健委 通报 日时 初步 诊断 新型 冠状病毒 感染 肺炎 病例 重症 死亡 患者 病情 稳定 不明 肺炎 致病 原因 疫情 可控 相关 专家 回应 武汉 不明 原因 病毒性 肺炎 初步 判定 一种 新型 冠状病毒 总体 可控 确诊 病例 重症 肺炎 重症 差别 详情 视频 武汉 不明 肺炎 已检 病例 死亡 第一 时间 微博 视频 收起 全文 
"
0,"专家 武汉 不明 原因 病毒性 肺炎 可控 新华网 QQ 浏览器 专家 武汉 不明 原因 病毒性 肺炎 可控 武汉 纸坊 
"
0,"专家 武汉 不明 原因 病毒性 肺炎 可控 新华网 专家 武汉 不明 原因 病毒性 肺炎 可控 
"
-1,"Stone 百科 不明 原因 肺炎 初步 判定 罪魁祸首 Stone 百科 不明 原因 肺炎 初步 判定 罪魁祸首 网页 链接 
"
-1,"车子 两个 没开 发动 不着 某宝 启动 不错 打着 手机 充电 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 鹿晗 吃火锅 葡萄 ## 娄艺潇 试镜 胡一菲 画面 ## 岳云鹏 ## 不行 ## 张鹤伦 
"
-1,"武汉 通报 病毒性 肺炎 情况 一人 死亡 一周 新增 病例 武汉 卫健委日 通报 不明 原因 病毒性 肺炎 情况 日时 初步 诊断 新型 冠状病毒 感染 肺炎 病例 出院 重症 死亡 患者 病情 稳定 天下 泉城 微博 视频 
"
-1,"最新 通报 专家 解读 不明 原因 病毒性 肺炎 昨日 早上 武汉市 卫生 健康 发布 武汉市 卫生 健康 不明 原因 病毒性 肺炎 情况通报 武汉市 不明 原因 病毒性 肺炎 情况 最新进展 看一看 通报 内容 武汉市 卫生 健康 委日晨 发布 通报 不明 原因 病毒性 肺炎 病原体 初步 判定 新型 冠状病毒 武汉 卫健委 组织 现有 患者 标本 检测 日时 初步 诊断 新型 冠状病毒 感染 肺炎 病例 重症 死亡 患者 病情 稳定 去年 月底 武汉 确诊 不明 原因 病毒性 肺炎 患者 持续 增加 武汉市 卫生 健康 委月 日晚 通报 当日 全市 报告 符合 不明 原因 病毒性 肺炎 诊断 患者 重症 患者 最新 通报 本次 不明 原因 病毒性 肺炎 病原体 初步 判定 新型 冠状病毒 国家 省市 专家组 不明 原因 病毒性 肺炎 诊疗 监测 方案 修订 完善 通报 初步 诊断 新型 冠状病毒 感染 肺炎 病例 例已 出院 重症 死亡 密切接触 医务人员 接受 医学观察 发现 相关 病例 年月日 发现 病例 发现 医务人员 感染 发现 传人 证据 专家 解读 本次 疫情 病例 诊断 患者 临床表现 流行病学 病原学 检测 综合 研判 本次 疫情 病例 临床表现 临床表现 发热 乏力 全身 症状 伴有 干咳 住院 患者 呼吸困难 常见 绝大多数 患者 入院 生命 体征 平稳 一例 死亡 病例 情况 患者 男性 呼吸衰竭 重症 肺炎 入院 患有 腹部 肿瘤 慢性 肝病 患者 常年 武汉市 华南 海鲜 市场 采购 货物 入院 给予 对症 支持 抗感染 呼吸机 辅助 呼吸 持续 ECMO 体外 生命 支持 治疗 症状 好转 年月日 心跳 停止 抢救无效 死亡 病原学 检测 提示 新型 冠状病毒 核酸 阳性 死亡 诊断 重症 肺炎 急性 呼吸 窘迫 综合征 重度 脓毒 性休克 器官 功能 衰竭 酸碱 代谢 紊乱 肝硬化 死亡 原因 呼吸 循环 衰竭 通报 中说 年月日 发现 病例 意味着 国家 省市 专家 流行病学 调查 这次 武汉 不明 原因 病毒性 肺炎 病例 发病 年月日 年月日 之间 年月日 临床 流行病学 调查 显示 发现 感染 发病 病人 理解 发现 传人 证据 国家 省市 专家 流行病学 调查 显示 这次 武汉 不明 原因 病毒性 肺炎 病例 大部分 华南 海鲜 市场 暴露 发现 传人 证据 进一步 流行病学 调查 相关 实验室 检验 检测 截止 密切接触 包括 医务人员 发现 相关 病例 武汉 卫健委 提醒 处于 冬春季 传染病 高发 季节 公众 室内空气 流通 尽量避免 封闭 空气 流通 公众 场合 人群 地方 佩带 口罩 发热 呼吸道 感染 症状 特别 持续 发热 医疗机构 就诊 市民 无需 过分 担忧 保持良好 日常 卫生习惯 做好 预防 工作 以不变应万变 呼吸道 传染病 袭击 来源 公共卫生 预防 医学 收起 全文 
"
0,"专家 武汉 不明 原因 病毒性 肺炎 可控 新华网 专家 武汉 不明 原因 病毒性 肺炎 可控 
"
-1,"邓家佳 演技 武汉 不明 原因 肺炎 导致 死亡 風行 雲上 新浪 军事 Armstrong 空军 之翼 DS 北风 DTOY 飞机 模型 越南 空军 博物馆 越南 
"
-1,"武汉 卫健委 通报 不明 原因 肺炎 情况 死亡 重症 不明 原因 病毒性 肺炎 病原体 初步 判定 新型 冠状病毒 国家 省市 专家组 不明 原因 病毒性 肺炎 诊疗 监测 方案 修订 完善 初步 诊断 新型 冠状病毒 感染 肺炎 病例 出院 重症 死亡 患者 病情 稳定 新闻 深呼吸 口水 微博 视频 收起 全文 
"
-1,"武汉 发现 不明 原因 肺炎 
"
-1,"南京 雪景 江门 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 鹿晗 吃火锅 葡萄 ## 娄艺潇 试镜 胡一菲 画面 ## 南京 香港 ## 岳云鹏 ## 不行 ## 孟鹤堂 太极 天使 微博 视频 
"
-1,"专家 解读 武汉 不明 原因 肺炎 ## 武汉 不明 原因 肺炎 导致 死亡 科技 发达 会治好 武汉 卫健委 通报 不明 肺炎 已检 病例 死亡 救治 情况 
"
-1,"妆容 输在 ## 不明 原因 肺炎 患者 转入 传染病 医院 ## 王凯 视频 胜诉 
"
-1,"及早 接種 疫苗 秋冬季 肺炎 高发期 内地 成人版 肺炎 疫苗 香港 预约 预约 孩子 大人 剧烈 咳嗽 呼吸困难 高烧 多日 就要 警惕 肺炎 医院 治疗 武汉 发现 不明 原因 肺炎 ## 香港 肺炎 
"
-1,"毒药 干什么 楚云 强烈要求 givenchy 纪梵 希康丽 印花 卫衣 烈焱雀 修炼 年味 越来越 ## 回家路上 听到 ## 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 
"
-1,"武汉 确诊 感染 新型 冠状病毒 肺炎 患者 武汉市 卫生 健康 委日晨 发布 通报 不明 原因 病毒性 肺炎 病原体 初步 判定 新型 冠状病毒 武汉 卫健委 组织 现有 患者 标本 检测 日时 初步 诊断 新型 冠状病毒 感染 肺炎 病例 重症 死亡 患者 病情 稳定 江苏 卫视 新闻 微博 视频 收起 全文 
"
1,"邀请 武汉市 卫生 健康 委日晨 发布 通报 不明 原因 病毒性 肺炎 宝官 
"
1,"邀请 武汉市 卫生 健康 委日晨 发布 通报 不明 原因 病毒性 肺炎 宝官 
"
0,"分析 淡然处之 发现 成分 太好了 韩千晴 喜不自胜 发现 成分 意味着 意味着 攻克 不明 原因 肺炎 患者 转入 传染病 医院 ## 过年 东西 ## 误吞 AirPod 医生 建议 自行 排出 
"
1,"中国 世卫 组织 分享 新型 冠状病毒 基因 序列 信息 记者 国家 卫生 健康 委员会 武汉 不明 原因 病毒性 肺炎 疫情 各界 关注 维护 全球 卫生 中国 世界卫生组织 分享 武汉 不明 原因 病毒性 肺炎 病例 检测 新型 冠状病毒 基因 序列 信息 记者 陈聪 
"
0,"分享 专家 武汉 不明 原因 病毒性 肺炎 可控 新华网 专家 武汉 不明 原因 病毒性 肺炎 可控 
"
-1,"五问 武汉 不明 原因 肺炎 面对 肺炎 厘清 谣言 真相 小武 开大图 这场 肺炎 起因 现状 人民日报 
"
-1,"香港 衛生署 武漢 返港 懷疑個 案情 截止 年月日 武汉 发现 不明 原因 肺炎 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 
"
-1,"武汉 发现 不明 原因 肺炎 面对 肺炎 厘清 谣言 真相 开大图 这场 肺炎 起因 现状 人民日报 
"
1,"中国 世卫 组织 分享 新型 冠状病毒 基因 序列 信息 国家 卫健委 消息 武汉 不明 原因 病毒性 肺炎 疫情 各界 关注 维护 全球 卫生 中国 世界卫生组织 分享 武汉 不明 原因 病毒性 肺炎 病例 检测 新型 冠状病毒 基因 序列 信息 
"
-1,"新闻 速递 中国 女子 检出 不明 原因 肺炎 武汉 卫生部 正查 hot 新闻 集合 微博 视频 
"
0,"武汉 新型 冠状病毒 基因 序列 正式 公布 SARS 病毒 电子显微镜 武汉 不明 原因 病毒性 肺炎 疫情 病原学 鉴定 传来 进展 央视网 报道 日时 实验室 检出 一种 新型 冠状病毒 病毒 基因组 序列 核酸 检测 方法 检出 新型 冠状病毒 阳性 从例 阳性 病人 样本 分离 出该 病毒 电镜 呈现 典型 冠状病毒 形态 病原 检测 初步 评估 专家组 本次 不明 原因 病毒性 肺炎 病例 病原体 初步 判定 新型 冠状病毒 病毒 进一步 科学研究 收起 全文 
"
-1,"抗疫毒 流感 藥方 連翹 檳榔 厚朴 果仁 白芷 牡蠣 桂枝 菟絲子 浙貝母 防風 赤芍 當歸 蒲公英 金銀花 甘草 此方針 當下 南北 多處 城市 非典 不明 病毒 所致 流感 武汉 发现 不明 原因 肺炎 ## 武汉 不明 原因 肺炎 排除 sars 病原 
"
-1,"武汉市 不明 原因 肺炎 死亡 一人 触目惊心 耳鸣 患者 烦躁 日常 耳鸣 耳聋 健康 武汉市 不明 原因 肺炎 死亡 一人 触目惊心 
"
-1,"聊天 挨打 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 鹿晗 吃火锅 葡萄 ## 娄艺潇 试镜 胡一菲 画面 ## 岳云鹏 ## 不行 ## 刘筱亭 ## 刘筱亭 太极 天使 微博 视频 
"
-1,"滚滚而来 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 鹿晗 吃火锅 葡萄 ## 娄艺潇 试镜 胡一菲 画面 ## 岳云鹏 ## 不行 ## 刘筱亭 
"
-1,"武汉 发现 不明 原因 肺炎 ## 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 國家 衛健委 已將 武漢 肺炎 有關 新型 冠狀 病毒基因 排序 世衛 組織 分享 本港 相關 資料 食品 衛生 管理局 明日 武漢 相關 事宜 津彩 生活 TJ 视频 
"
0,"总理 承认 应对 山火 失误 武汉 发现 不明 原因 肺炎 热闹 半天 下文 武汉 
"
-1,"武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 武汉 发现 不明 原因 肺炎 專家組 新型 冠狀 病毒 沙士 病毒 度近 津彩 生活 微博 视频 
"
1,"叶寒 迎进 一间 雅间 之内 蒙口 moncler 盟可睐 MC 铁塔 印花 立领 羽绒 夹克 奉茶 叶寒 地位 实力 值得 亲眼见到 各方 大佬 云诀 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 第一个 梦想 ## 最火 表情 
"
-1,"魂之力 凝聚 利剑 一道 一道 一道 命中 灵魂 之火 痛不欲生 变故 炮爷 蒙口 moncler 盟可睐 MCMC Valextra 电镀 银面 嫩黄 羽绒服 嗜血 停顿 空中 该死 畜生 害死 老子 一声 低沉 张杰献 姜子牙 主题曲 ## 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 徐坤教 Lisa 捣蒜 收起 全文 
"
-1,"武汉 不明 原因 肺炎 病原体 新型 冠状病毒 冠状病毒 来自 网页 链接 
"
-1,"一人 灭掉 一个 团队 刘筱亭 刘筱亭 ## 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 张艺 兴拉王 一博 ## 岳云鹏 ## 不行 ## 孟鹤堂 ## 余年 太极 天使 微博 视频 
"
0,"好玩 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 张艺 兴拉王 一博 ## 娄艺潇 试镜 胡一菲 画面 ## 岳云鹏 ## 不行 ## 于谦 ## 麒麟 太极 天使 微博 视频 
"
-1,"武汉市 卫生 健康 委员会 新型 冠状病毒 感染 肺炎 情况通报 年月日 我市 新增 新型 冠状病毒 感染 肺炎 病例 治愈 出院 新增 死亡 病例 报告 截止 我市 累计 报告 新型 冠状病毒 感染 肺炎 病例 治愈 出院 重症 死亡 患者 病情 稳定 患者 武汉市 定点 医疗机构 接受 隔离 治疗 累计 追踪 密切接触 解除 医学观察 接受 医学观察 密切接触 发现 相关 病例 武汉 发现 不明 原因 肺炎 收起 全文 
"
1,"回答 小达 热点 快来 花元 围观 微博 问答 
"
-1,"武汉 不明 原因 肺炎 武汉市 卫生 健康 委员会 发布 新型 冠状病毒 感染 肺炎 情况通报 新增 病例 治愈 出院 年月日 武汉市 新增 新型 冠状病毒 感染 肺炎 病例 治愈 出院 新增 死亡 病例 报告 武汉市 累计 报告 新型 冠状病毒 感染 肺炎 病例 治愈 出院 重症 死亡 患者 病情 稳定 患者 武汉市 定点 医疗机构 接受 隔离 治疗 累计 追踪 密切接触 收起 全文 
"
-1,"武汉市 卫生 健康 委员会 新型 冠状病毒 感染 肺炎 情况通报 年月日 武汉市 新增 新型 冠状病毒 感染 肺炎 病例 治愈 出院 新增 死亡 病例 报告 武汉市 累计 报告 新型 冠状病毒 感染 肺炎 病例 治愈 出院 重症 死亡 患者 病情 稳定 患者 武汉 发现 不明 原因 肺炎 ## 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 收起 全文 
"
-1,"兽医 频道 ## 武汉 发现 不明 原因 肺炎 北京 小关 北里 
"
-1,"武汉 肺炎 接受 医学观察 武汉市 卫健委 不明 肺炎 患者 治愈 接受 医学观察 年月日 武汉市 新增 新型 冠状病毒 感染 肺炎 病例 治愈 出院 新增 死亡 病例 报告 截止 我市 累计 报告 新型 冠状病毒 感染 肺炎 病例 治愈 出院 重症 死亡 患者 病情 稳定 患者 武汉市 定点 医疗机构 接受 隔离 治疗 累计 追踪 密切接触 解除 医学观察 接受 医学观察 密切接触 href https sweibocom weibo %% E% AD% A% E% B% E% B% D% E% E% E% BA% E% E% E% AD% BB% E% %% E% B% BB% E% B% E% B% E% A% target blank 武汉 不明 肺炎 死者 系岁 男性 ## 专家 解读 武汉 不明 原因 肺炎 ## 武汉 发现 不明 原因 肺炎 ## 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 武汉 不明 原因 肺炎 排除 sars 病原 武汉市 卫生 健康 委员会 收起 全文 
"
-1,"武汉 不明 原因 肺炎 病原体 新型 冠状病毒 ## 武汉 不明 原因 肺炎 病原体 系为 新型 冠状病毒 门外汉 权威 公告 武汉 不明 原因 肺炎 病原体 新型 冠状病毒 病毒 危害 民众 
"
-1,"深圳 南山区 收治 一例 重症 肺炎 病例 武汉 疫情 无关 深圳 卫视 深圳 客户端 记者 最新 南山区 人民 医院 获悉 年月日 上午 深圳市 蛇口 人民 医院 收治 一名 女性 患者 印度籍 深圳 国际 学校 老师 患者 此前 咳嗽 发热 入院 呼吸衰竭 下午 患者 转入 南山区 人民 医院 重症 医学科 ICU 救治 医院 组织 感染 呼吸科 学科 会诊 深圳市 第三 人民 医院 专家 会诊 重症 肺炎 急性 呼吸 窘迫 综合症 继发 急性 肾衰竭 弥散 血管 凝血 损伤 医院 ICU 抢救 患者 肺部 氧合 好转 病情 稳定 尚未 脱离 危险期 患者 样本 深圳市 疾控中心 南山区 疾控中心 检测 排除 流感 感染 禽流感 非典 SARS 中东 呼吸 综合征 MERS 排除 新型 冠状病毒 感染 南山区 疾控中心 流行病学 调查 患者 发病 深圳 生活 工作 去过 外地 接触 类似 病人 患者 亲属 同事 朋友 任教 学校 师生 类似 病例 病例 武汉 近期 报告 不明 原因 肺炎 疫情 关联 专家 解读 武汉 不明 原因 肺炎 收起 全文 
"
-1,"最新 武汉 不明 原因 肺炎 死者 男性 常年 海鲜 市场 采购 最新 武汉 不明 原因 肺炎 死者 男性 常年 海鲜 市场 采购 
"
