时间,博文id,用户,用户id,评论,转发,点赞,博文,情感分数
2019年12月31日 08:47,4455482394084099,瓜子儿大诗姐,7242382302,0,0,0,"
                    #武汉sars# 武汉海鲜市场现不明原因的肺炎 ​                ",-1
2019年12月31日 08:41,4455481017687291,瘦驼,1229068373,146,186,371,"
                    流感季的地铁里，目测就我一个人戴了口罩。阻隔普通感冒和流感这些飞沫型传播的疾病，普通纱布或者无纺布口罩就有很好的效果。大家心还是太大了。另外，不明原因肺炎的报告每年都有不少，未必就是SARS，做好防护，不要惊慌。 2广州 ​                ",-4.0
2019年12月31日 08:36,4455479629245392,优医邦在线,5596647468,3,1,7,"
                    #武汉肺炎# 尚不明原因的肺炎，据悉与武汉华南海鲜市场的接触有关，正在排查中。 ​                ",1
2019年12月31日 08:26,4455477137880265,一个爱电影的人,5361035289,18,2,29,"
                    #武汉不明原因肺炎不能断定是SARS# 不管是什么病情，祝平安🙏 为敢于先发声的媒体点赞，为医护工作人员点赞 ​​​                ",1
2019年12月31日 08:22,4455476156558518,一个爱电影的人,5361035289,4,0,19,"
                    #武汉不明原因肺炎不能断定是SARS# 不管是什么病情，祝平安🙏 为敢于先发声的媒体点赞，为医护工作人员点赞 ​                ",1
2019年12月31日 08:22,4455476143941705,由纪未知,2196406892,2,1,6,"
                    武汉昨晚的不明原因肺炎病例太吓人了，想想当年的sars，封闭了多久的消息才宣布啊，请官方尽快把确诊结果公布，让大家安心。另外华南海鲜和武汉后湖中心医院附近都别去，勤洗手，出门带口罩。 ​                ",-3.0
2019年12月31日 08:21,4455475930605896,方一千年,6276718142,0,0,2,"
                    武汉，多人不明原因肺炎。 ​                ",-1
2019年12月31日 08:21,4455475879447489,郭婉莹是个精致的女子,5770725320,0,0,0,"
                    #武汉爆料#武汉有不明原因肺炎？是SARS么？一大早上感觉很不好 ​                ",-2.0
2019年12月31日 08:07,4455472436015022,急诊夜鹰,1621894121,1001,3916,15805,"
                    武汉华南海鲜市场出现多个不明原因肺炎病例，请同道们提高警惕，早期发现，早期隔离。2003年广东的SARS就是差不多这个时间点发现的，春节后迅速爆发。 大家别怕，我们今天的疾控体系已经今非昔比。 ​                ",-2
2019年12月31日 11:59,4455530838018944,视角_庄城,5516895343,0,0,0,"
                    #武汉不明原因肺炎已做好隔离# 【武汉发现不明原因肺炎：已做好隔离，专家组到达】12月30日，武汉市卫生健康委员会医政医管处发布《关于做好不明原因肺炎救治工作的紧急通知》。通知称，武汉市部分医疗机构陆续出现不明原因肺炎病人。据央视新闻，目前国家卫健委专家组已抵达武汉。O网页链接 收起全文d
                ",-3
2019年12月31日 11:59,4455530838011581,嗨牛财经,5506906732,0,0,0,"
                    实时播报：【武汉不明原因肺炎不能断定是SARS】嗨牛财经讯，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。（人民日报） 收起全文d
                ",0
2019年12月31日 11:59,4455530812764623,食悦大咖,2814930282,0,0,9,"
                    风雨中走过的中国人，经历过非典和H7N9的考验，已然具备了对不明原因肺炎说不的底气。世卫组织官员对中国的称赞是由衷的：“中国通过一次次疫情大考，经验适用全世界。”首先，严防死守在中国会落实到位，各级卫生医疗机构都进行了培训，相关实验室也已具备检测能力，纵使出现了少数病例，也难逃脱监测系统的明察秋毫，立即启动迅速控制，不至于蔓延成灾。所以，不惧，不慌。#武汉发现不明原因肺炎##武汉医院回应网传SARS系谣言# 2杭州 收起全文d
                ",7
2019年12月31日 11:59,4455530762015736,南京广播电视台,2663751563,0,0,1,"
                    【最新消息：#武汉不明原因肺炎不能断定是SARS#，此次肺炎病例大部分为华南海鲜城经营户】来自湖北省相关部门的消息称，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市民也不用恐慌。 收起全文d
                ",3
2019年12月31日 11:59,4455530762494922,墨鱼Pro,6052350992,0,0,3,"
                    12 月 30 日武汉出现不明原因肺炎，目前情况如何？ - 231 个回答，1560 人关注，O网页链接（想看更多？下载 @知乎 App：知乎 ） ​                ",1
2019年12月31日 11:59,4455530745160317,周口晚报zkwb,2533574257,0,0,0,"
                    【最新消息：#武汉不明原因肺炎不能断定是SARS#，此次肺炎病例大部分为华南海鲜城经营户】来自湖北省相关部门的消息称，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市民也不用恐慌。（人民日报） 收起全文d
                ",3
2019年12月31日 11:59,4455530703329461,华商报,1717833412,5,3,11,"
                    【最新消息：#武汉不明原因肺炎不能断定是SARS#，此次肺炎病例大部分为华南海鲜城经营户】来自湖北省相关部门的消息称，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市民也不用恐慌。（人民日报） 收起全文d
                ",3
2019年12月31日 11:59,4455530703331705,Vv-b1ue,6285887824,0,0,0,"
                    #武汉不明原因肺炎#希望如果是假的及时辟谣，真的早日公布 ​                ",0
2019年12月31日 11:59,4455530691190918,快兰斯24小时财经直播,5051077448,2,9,9,"
                    实时播报：【武汉不明原因肺炎不能断定是SARS】12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。（人民日报） 收起全文d
                ",1
2019年12月31日 11:59,4455530678742895,环球网,1686546714,30,58,195,"
                    【最新消息：#武汉不明原因肺炎不能断定是SARS#，此次肺炎病例大部分为华南海鲜城经营户】来自湖北省相关部门的消息称，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市民也不用恐慌。（人民日报） 收起全文d
                ",3
2019年12月31日 11:59,4455530669632968,坂田九歌,2279421003,0,0,0,"
                    #武汉不明原因肺炎#等官方说话，事情确定或者辟谣之前，自己少去人多的地方，在家开窗通风，喝点板蓝根之类的，做好预防就行🙏 ​                ",0
2019年12月31日 11:59,4455530641093677,水木的笔记,1657595227,2,4,6,"
                    根据多方信息，武汉肺炎病人陆续出现在华南海鲜市场，目前，病人已在就诊医院被隔离，而在华南海鲜市场现场看到，现场已被隔离，医务人员已对现场进行防治处理。不过，多位医院人士表示，目前，这些病人的病因尚未明确，不能断定是网上传言的SARS病毒。所谓“不明原因肺炎”是继SARS流行之后，卫生部为了更好地及时发现和处理SARS、人禽流感以及其他表现类似、具有一定传染性的肺炎而提出的一个名词。其诊断需同时具备以下4条不能做出明确诊断的肺炎病例：发热(≥38℃)；具有肺炎或急性呼吸窘迫综合征的影像学特征；发病早期白细胞总数降低或正常,或淋巴细胞分类计数减少；经抗生素规范治疗3~5天,病情无明显改善。目前肺炎病因不明，我们能做什么：1、这种时候也是谣言容易传播的时候，不造谣不传谣，更不能恐慌；2、保持室内空气流通，必要时戴口罩；3、养成好习惯：勤洗手，不随地吐痰，避免人前喷嚏、咳嗽，事后洗手；4、减少去人多的或相对封闭的地方5、如有发热、咳嗽等呼吸道不适，及时就诊。#武汉发现不明原因肺炎#O网页链接 收起全文d
                ",-9.5
2019年12月31日 11:59,4455530624089679,安徽反邪教,5964184998,47,45,43,"
                    【湖北#武汉不明原因肺炎# #专家组已达武汉#】昨天，武汉市卫生健康委员会医政医管处发布《关于做好不明原因肺炎救治工作的紧急通知》。通知称，武汉市部分医疗机构陆续出现不明原因肺炎病人。通知要求各医疗机构要及时追踪统计救治情况，并按要求及时上报。目前，国家卫健委专家组已抵达武汉，正展开相关检测核实工作。（央视） 收起全文d
                ",0
2019年12月31日 11:59,4455530611293794,lihsnb,2373079631,0,0,0,"
                    武汉出现不明原因肺炎专家组抵达 ​                ",-1
2019年12月31日 11:58,4455530606736013,鱼缸里的潜水灯,1118989051,3,0,1,"
                    《武汉现不明原因肺炎 官方确认属实：已经做好隔离》O武汉现不明原因肺炎 官方确认属实：已经做好隔离 来自@网易新闻客户端 #网易新闻# ​                ",-2
2019年12月31日 11:58,4455530594100854,湖北生活频道,2739409742,1,0,1,"
                    【最新消息：#武汉不明原因肺炎不能断定是SARS#，此次肺炎病例大部分为华南海鲜城经营户】来自湖北省相关部门的消息称，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市民也不用恐慌。 收起全文d
                ",3
2019年12月31日 11:58,4455530589889903,武汉市洪山区区草,2299413834,3,0,2,"
                    #武汉发现不明原因肺炎#我们书记打电话给汉口医院打电话确认了，发烧病人不让出来 都隔离了，病源在武汉市，真滴可怕。 买点板蓝根和3M口罩吧，注意保暖！ O网页链接 ​                ",-3
2019年12月31日 11:58,4455530581827480,湖南日报,2618638282,1,1,2,"
                    【最新消息：#武汉不明原因肺炎不能断定是SARS#，此次肺炎病例大部分为华南海鲜城经营户】来自湖北省相关部门的消息称，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市民也不用恐慌。@人民日报 收起全文d
                ",3
2019年12月31日 11:58,4455530522777988,加一勺芋圓oo,5013509760,17,1,36,"
                    一天天的又地震又停水又不明原因肺炎 能取消考试吗我要回家@武汉发布 ​                ",-1
2019年12月31日 13:59,4455561033084194,秀娥未来可期,7316188586,0,0,0,"
                    #武汉发现不明原因肺炎#大过年的，希望大家都能健健康康平平安安🙏 ​                ",2
2019年12月31日 13:59,4455561015757656,广州热点事儿,6611051943,1,3,7,"
                    【2019年那些令人印象深刻的消防出警瞬间 】 2019年即将过去，在每一个危急的时刻，总有这么一群人，他们有着年轻的脸庞和坚定的背影，所有人都在撤离，而他们却迎面走上前去... 他们24小时随时待命，只为守护万家安宁。L燃新闻的秒拍视频 ​ ​​​#武汉发现不明原因肺炎# ​                ",2
2019年12月31日 13:59,4455561011248184,NAMANANA--LY,6379400143,0,0,1,"
                    #武汉发现不明原因肺炎#不信谣不传谣  快过年了  希望只是虚惊一场 ​                ",-1
2019年12月31日 13:59,4455560990500489,江南哥儿,3186369537,33,37,185,"
                    武汉这次回应速度算快了，几乎全网都在即时更新最新进展，传染病疫情最担心的就是信息不透明引发的群体性恐慌。我们的疾控响应体系还是比较成熟的，而且这次是在武汉，那里有我国唯一的P4实验室，专门用于烈性传染病研究与利用的大型装置，也是【人类迄今为止能建造的生物安全防护等级最高的实验室】。密切关注最新信息，对这种飞沫传播疾病做好口鼻防护，一旦有感冒发烧症状及时就医，不要带病上班上学。真希望是虚惊一场，大家安安心心跨年。#武汉发现不明原因肺炎##武汉不明原因肺炎不能断定是SARS##武汉医院回应网传SARS系谣言# 收起全文d
                ",-2.0
2019年12月31日 13:59,4455560986290982,闽声,7322741048,0,0,0,"
                    #武汉发现不明原因肺炎#最新消息：#武汉肺炎不能断定是SARS#，此次肺炎病例大部分为华南海鲜城经营户，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市民也不用恐慌。 收起全文d
                ",2
2019年12月31日 13:59,4455560965215547,狙击庄股,5386631041,0,0,0,"
                    水泥板块急拉一波，跟水泥涨价有关！这是主力资金所为，看市场没啥可拉，而且水泥有涨价预期，就拉一波，这就是资金优势，小资金只有跟随，水泥动了，钢铁也动了，周期股不分家，都有轮动。股市 股票武汉发现不明原因肺炎 2019年最后一天 ​                ",-1
2019年12月31日 13:59,4455560960999218,Shanna江,5722620466,4,0,3,"
                    #武汉不明原因肺炎不能断定是SARS#不能断定是，也就是不能说不是。看了非典的纪录片，我想说，还是小心点好，别去人多的地方。 ​                ",-3
2019年12月31日 13:59,4455560957595956,吉林台郝峰,1662407481,3,0,0,"
                    #武汉发现不明原因肺炎#  武汉卫健委通报：27人感染病毒性肺炎，未发现明显人传人现象O武汉卫健委通报：27人感染病毒性肺炎，未发现明显人传人现象 ​                ",-5
2019年12月31日 13:59,4455560957085723,钮祜禄西柚,6537091214,1,0,3,"
                    #武汉发现不明原因肺炎#昨天晚上感冒了……我瑟瑟发抖 ​                ",-3
2019年12月31日 13:59,4455560957603949,wuli_喋喋有喵病,1915809295,0,0,0,"
                    #武汉不明原因肺炎不能断定是SARS#希望不是，搞的人心惶惶的，我们这有的药店口罩板蓝根都卖空了 ​                ",-2
2019年12月31日 13:59,4455560931835161,猫吃糊涂我吃鱼,3093196592,0,0,0,"
                    #武汉发现不明原因肺炎#人们太警觉了，口罩都卖光了，小孩子的都买不到 ​                ",2.0
2019年12月31日 13:59,4455560931533484,爱摸鱼的坏船长,6781546438,0,0,1,"
                    #武汉发现不明原因肺炎# 板蓝根喝起来了 ​                ",-1
2019年12月31日 13:59,4455560919214331,成都科协,3540607485,3,4,5,"
                    #武汉不明原因肺炎不能断定是SARS#武汉拥有全国唯一的病毒实验室，也是世界一流的传染病毒实验室，对付病毒是有办法的。如果武汉都搞不定，估计也就没人能搞定了。 ​                ",0
2019年12月31日 13:59,4455560906580255,狙击庄股,5386631041,0,0,1,"
                    水泥板块急拉一波，跟水泥涨价有关！这是主力资金所为，看市场没啥可拉，而且水泥有涨价预期，就拉一波，这就是资金优势，小资金只有跟随，水泥动了，钢铁也动了，周期股不分家，都有轮动。股市 股票武汉发现不明原因肺炎 2019年最后一天 ​                ",-1
2019年12月31日 13:59,4455560907097951,circle是噗噗,5633922750,20,0,15,"
                    #武汉发现不明原因肺炎#我是无语了凹！ ​                ",-1
2019年12月31日 13:59,4455560869480523,老章博弈,5764015290,0,0,0,"
                    12月31日，受武汉出现不明原因肺炎消息的影响。相关概念板块也表现积极，生物疫苗概念板块上涨3.15%，抗癌概念板块上涨3.23%，仿制药概念板块上上涨2.27%。板块内个股实现上涨，鲁抗医药（600789）、莱茵生物（002166）、东北制药（000597）、联环药业（600513）、四环生物（000518）、南卫股份（603880）、海王生物（000078）等盘中涨停。上证指数 sh000001 收起全文d
                ",1
2019年12月31日 13:59,4455560861071293,Lily_23d,3545624243,0,0,0,"
                    #武汉发现不明原因肺炎# ​                ",-1
2019年12月31日 13:59,4455560834997706,日本傻事,6779889094,32,11,20,"
                    #武汉发现不明原因肺炎#日本人评论的毒舌：有说环境污染的，要环保少女出场的，尘肺，有让肺炎蔓延全国的，还有更恶毒说黑社会从天空撒病毒的国家。 ​                ",-5.0
2019年12月31日 13:59,4455560823079117,杨超越贴吧全球后援会,3227630873,0,1,3,"
                    戒掉杨超越#武汉发现不明原因肺炎#纪录片《人体内的住客》，讲述了我们，作为地球上生物密度最高的栖息地，身上到底有哪些住客？密集恐惧症就别看了！O网页链接 #武汉不明原因肺炎不能断定是SARS# ​                ",0
2019年12月31日 13:59,4455560822630141,你爸爸还是你爸爸2333,6382247473,0,0,0,"
                    #武汉发现不明原因肺炎#今年可真是多事之年唉，年末还发生那么多糟心的事 ​                ",-13.0
2019年12月31日 13:58,4455560805798088,贵州综合广播,2085931962,0,0,1,"
                    【湖北#武汉发现不明原因肺炎# 专家组已达武汉】昨天，武汉市卫生健康委员会医政医管处发布《关于做好不明原因肺炎救治工作的紧急通知》。通知称，武汉市部分医疗机构陆续出现不明原因肺炎病人。通知要求各医疗机构要及时追踪统计救治情况，并按要求及时上报a href=""javascript:void(0);"" action-type=""fl_fold"">收起全文d
                ",-1
2019年12月31日 13:58,4455560789257470,游资异朽君,5621554062,0,0,1,"
                    超短而言，昨天买星期六星期六 sz002291 的是高高手，今天买的是高手，之后再买的可能就是韭菜了。#武汉不明原因肺炎不能断定是SARS# ​                ",2
2019年12月31日 13:58,4455560784755601,泡菜肉丝儿,5850902799,0,0,4,"
                    #武汉发现不明原因肺炎#希望是虚惊 ​                ",0
2019年12月31日 13:58,4455560780543609,Whitebirchinautumn,5313660881,0,0,0,"
                    #武汉不明原因肺炎不能断定是SARS#我开始还觉得sars好熟悉 原来是非典 权威官方未发布确切信息之前还是不要妄自揣测引起恐慌 ​                ",0.0
2019年12月31日 13:58,4455560768635253,会吐水的河豚,5838270563,2,0,10,"
                    #武汉发现不明原因肺炎#相信国家相信党 ​                ",1
2019年12月31日 13:58,4455560763703886,这就是皮蛋吗,3211344845,5,0,6,"
                    #武汉发现不明原因肺炎# 今天早上下单三次才买到两包板蓝根吓死我了，尤其我感冒发烧到今天早上才退烧本来打算今天出门做头发晚上出去玩，也给我吓得决定在家里呆一天了 ​                ",-3.0
2019年12月31日 13:58,4455560756117433,新闻广角,2013936642,0,0,4,"
                    【#武汉已发现27例肺炎病例#】据武汉卫健委网站，近期部分医疗机构发现接诊的多例肺炎病例与华南海鲜城有关联，目前已发现27例病例，其中7例病情严重，其余病例病情稳定可控，有2例病情好转拟于近期出院。病例临床表现主要为发热，少数病人呼吸困难，胸片呈双肺浸润性病灶。目前，所有病例均已隔离治疗，密切接触者的追踪调查和医学观察正在进行中，对华南海鲜城的卫生学调查和环境卫生处置正在进行中。#武汉发现不明原因肺炎# 2泉州 收起全文d
                ",6
2019年12月31日 13:58,4455560751368813,Y梦起风宁_momo咩,1868969933,0,0,0,"
                    #武汉发现不明原因肺炎#也没有必要过度惊慌，相信专家研究人员做好日常防护措施 ​                ",-1
2019年12月31日 13:58,4455560751372353,顶级游资瑞鹤仙,6068661633,1,0,0,"
                    股市点评 武汉不明原因肺炎不能断定是SARS，此次肺炎病例大部分为华南海鲜城经营户，医药板块表现强势，尤其是抗病毒板块，多股涨停 ​                ",3.0
2019年12月31日 13:58,4455560743490064,许愿,1774899217,0,1,4,"
                    #武汉发现不明原因肺炎#武汉市卫健委关于当前我市肺炎疫情的情况通报近期部分医疗机构发现接诊的多例肺炎病例与华南海鲜城有关联，市卫健委接到报告后，立即在全市医疗卫生机构开展与华南海鲜城有关联的病例搜索和回顾性调查，目前已发现27例病例，其中7例病情严重，其余病例病情稳定可控，有2例病情好转拟于近期出院。病例临床表现主要为发热，少数病人呼吸困难，胸片呈双肺浸润性病灶。目前，所有病例均已隔离治疗，密切接触者的追踪调查和医br/>武汉市组织同济医院、省疾控中心、中科院武汉病毒所、武汉市传染病医院及武汉市疾控中心等单位的临床医学、流行病学、病毒学专家进行会诊，专家从病情、治疗转归、流行病学调查、实验室初步检测等方面情况分析认为上述病例系病毒性肺炎。到目前为止调查未发现明显人传人现象，未发现医务人员感染。目前对病原的检测及感染原因的调查正在进行中。病毒性肺炎多见于冬春季，可散发或暴发流行，临床主要表现为发热、浑身酸痛、少部分有呼吸困难，肺部浸润影。病毒性肺炎与病毒的毒力、感染途径以及宿主的年龄、免疫状态有关。引起病毒性肺炎的病毒以流行性感冒病毒为常见，其他为副流感病毒、巨细胞病毒、腺病毒、鼻病毒、冠状病毒等。确诊则有赖于病原学检查，包括病毒分离、血清学检查以及病毒抗原及核酸检测。该病可防可控，预防上保持室内空气流通，避免到封闭、空气不流通的公众场合和人多集中地方，外出可佩戴口罩。临床以对症治疗为主，需卧床休息。如有上述症状，特别是持续发热不退，要及时到医疗机构就诊。                                              2019年12月31日 收起全文d
                ",12.0
2019年12月31日 13:58,4455560743384704,斑马君爱武汉,5147921705,38,3,34,"
                    #武汉新鲜事##武汉发现不明原因肺炎# 果然不出所料，武汉药店的板蓝根和口罩😷 要断货了。。口罩就算了，板蓝根真没必要抢啊。。 2武汉 ​                ",0
2019年12月31日 13:58,4455560709533828,最爱大济南,3203051183,1,1,2,"
                    #武汉发现不明原因肺炎#【最新消息：#武汉不明原因肺炎不能断定是SARS#，此次肺炎病例大部分为华南海鲜城经营户】来自湖北省相关部门的消息称，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。调查发现，此次肺炎病例大部分为华南海鲜城经营户。目前，相关病毒分型检测、隔离治疗、舆情管控、终末消毒等工作正在进行。武汉多位医院人士称，目前病因尚未明确，不能断定是网上传言的SARS病毒，其他重症肺炎的可能性更大。而且即便是SARS病毒，此前也已有成熟的防控救治体系，市民也不用恐慌。（记者程远州）via.@人民日报 收起全文d
                ",2
2019年12月31日 13:58,4455560697092863,llll00022,2906605144,0,0,2,"
                    #武汉不明原因肺炎不能断定是SARS#愿平安愿没事19年的最后一天一切平安顺利 ​                ",3
2019年12月31日 13:58,4455560688494581,我爱的少年叫exo呀,5610315644,0,0,3,"
                    #武汉发现不明原因肺炎#难得出去跨一次年，酒店都提前订好了，不能因为这就放弃，还是冒着危险要出去的一宿舍，哈哈哈，希望2019年的最后一天所有人都平平安安，好好迎接2020 2武汉 ​                ",2
2019年12月31日 13:59,4455560834997706,日本傻事,6779889094,32,11,20,"
                    #武汉发现不明原因肺炎#日本人评论的毒舌：有说环境污染的，要环保少女出场的，尘肺，有让肺炎蔓延全国的，还有更恶毒说黑社会从天空撒病毒的国家。 ​                ",-5.0
